Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,,Africa,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,South America,,,,,,,,,,,,,,,Oceania,,,,,,,,,,,,,,,,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Apr-24,,Africa Total,,,,,North America Total,,,,,U.S.A.,,,,,Canada,,,,,Mexico,,,,,North America Unclassified,,,,,South America Total,,,,,Brazil,,,,,South America Unclassified,,,,,Oceania Total,,,,,Australia,,,,,New Zealand,,,,,Oceania Unclassified,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"1,284 ",360 ,446 ,451 ,27 ,"68,097 ","35,835 ","24,771 ","7,491 ",0 ,"57,658 ","28,990 ","22,620 ","6,048 ",0 ,"9,232 ","6,094 ","1,849 ","1,289 ",0 ,872 ,604 ,188 ,80 ,0 ,335 ,147 ,114 ,74 ,0 ,"3,871 ","2,685 ",541 ,556 ,89 ,"2,416 ","1,860 ",206 ,290 ,60 ,"1,455 ",825 ,335 ,266 ,29 ,"14,159 ","6,407 ","2,775 ","1,686 ","3,291 ","11,233 ","4,685 ","2,066 ","1,218 ","3,264 ","2,720 ","1,648 ",673 ,399 ,0 ,206 ,74 ,36 ,69 ,27 ,374 ,242 ,75 ,20 ,37 ,"349,854 ","204,049 ","91,968 ","45,902 ","7,935 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"1,133 ",241 ,521 ,348 ,23 ,"68,868 ","35,280 ","27,254 ","6,334 ",0 ,"59,532 ","29,834 ","24,789 ","4,909 ",0 ,"8,109 ","4,891 ","2,010 ","1,208 ",0 ,789 ,374 ,292 ,123 ,0 ,438 ,181 ,163 ,94 ,0 ,"3,762 ","2,402 ",653 ,608 ,99 ,"1,886 ","1,275 ",322 ,219 ,70 ,"1,876 ","1,127 ",331 ,389 ,29 ,"12,015 ","4,579 ","3,169 ","1,276 ","2,991 ","9,414 ","3,282 ","2,235 ",948 ,"2,949 ","2,393 ","1,239 ",875 ,279 ,0 ,208 ,58 ,59 ,49 ,42 ,299 ,198 ,58 ,16 ,27 ,"320,277 ","171,826 ","98,979 ","39,682 ","9,790 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"1,113 ",302 ,471 ,326 ,14 ,"69,001 ","39,031 ","25,176 ","4,794 ",0 ,"60,778 ","33,744 ","23,116 ","3,918 ",0 ,"7,001 ","4,585 ","1,699 ",717 ,0 ,841 ,516 ,235 ,90 ,0 ,381 ,186 ,126 ,69 ,0 ,"2,771 ","1,517 ",623 ,545 ,86 ,"1,491 ",890 ,243 ,294 ,64 ,"1,280 ",627 ,380 ,251 ,22 ,"13,541 ","5,120 ","3,161 ","1,027 ","4,233 ","10,921 ","3,744 ","2,213 ",768 ,"4,196 ","2,362 ","1,273 ",908 ,181 ,0 ,258 ,103 ,40 ,78 ,37 ,489 ,375 ,53 ,17 ,44 ,"333,460 ","196,254 ","94,193 ","31,285 ","11,728 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"1,209 ",457 ,405 ,315 ,32 ,"72,419 ","42,509 ","22,116 ","7,794 ",0 ,"60,997 ","34,485 ","20,200 ","6,312 ",0 ,"9,790 ","6,897 ","1,605 ","1,288 ",0 ,"1,178 ",877 ,201 ,100 ,0 ,454 ,250 ,110 ,94 ,0 ,"3,346 ","2,296 ",488 ,479 ,83 ,"2,222 ","1,585 ",271 ,309 ,57 ,"1,124 ",711 ,217 ,170 ,26 ,"13,883 ","5,912 ","2,686 ","1,634 ","3,651 ","10,911 ","4,243 ","1,864 ","1,180 ","3,624 ","2,625 ","1,471 ",770 ,384 ,0 ,347 ,198 ,52 ,70 ,27 ,512 ,390 ,63 ,14 ,45 ,"399,305 ","264,315 ","83,975 ","38,450 ","12,565 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"1,366 ",391 ,435 ,518 ,22 ,"64,720 ","32,975 ","20,085 ","11,660 ",0 ,"53,210 ","25,615 ","18,386 ","9,209 ",0 ,"10,185 ","6,712 ","1,431 ","2,042 ",0 ,812 ,461 ,156 ,195 ,0 ,513 ,187 ,112 ,214 ,0 ,"2,669 ","1,530 ",379 ,660 ,100 ,"1,541 ",944 ,189 ,332 ,76 ,"1,128 ",586 ,190 ,328 ,24 ,"11,983 ","4,572 ","2,540 ","2,258 ","2,613 ","9,365 ","3,457 ","1,708 ","1,607 ","2,593 ","2,353 ","1,067 ",790 ,496 ,0 ,265 ,48 ,42 ,155 ,20 ,670 ,534 ,49 ,58 ,29 ,"401,594 ","252,952 ","74,044 ","62,913 ","11,685 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"1,375 ",303 ,524 ,520 ,28 ,"59,445 ","29,010 ","23,294 ","7,141 ",0 ,"50,358 ","23,799 ","20,991 ","5,568 ",0 ,"7,618 ","4,414 ","1,885 ","1,319 ",0 ,"1,028 ",630 ,261 ,137 ,0 ,441 ,167 ,157 ,117 ,0 ,"3,155 ","2,044 ",504 ,531 ,76 ,"1,731 ","1,228 ",242 ,206 ,55 ,"1,424 ",816 ,262 ,325 ,21 ,"15,764 ","8,116 ","3,224 ","1,441 ","2,983 ","12,931 ","6,569 ","2,324 ","1,068 ","2,970 ","2,645 ","1,492 ",846 ,306 ,1 ,188 ,55 ,54 ,67 ,12 ,454 ,334 ,58 ,24 ,38 ,"330,401 ","179,380 ","92,772 ","48,985 ","9,264 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"2,236 ",445 ,757 ,"1,012 ",22 ,"82,181 ","47,553 ","29,154 ","5,471 ",3 ,"69,884 ","39,297 ","26,321 ","4,266 ",0 ,"10,422 ","7,085 ","2,352 ",985 ,0 ,"1,278 ",864 ,279 ,132 ,3 ,597 ,307 ,202 ,88 ,0 ,"4,007 ","2,650 ",732 ,505 ,120 ,"2,321 ","1,642 ",344 ,254 ,81 ,"1,686 ","1,008 ",388 ,251 ,39 ,"12,250 ","5,248 ","3,475 ","1,210 ","2,317 ","9,773 ","4,100 ","2,454 ",919 ,"2,300 ","2,176 ","1,059 ",887 ,230 ,0 ,301 ,89 ,134 ,61 ,17 ,393 ,279 ,70 ,16 ,28 ,"405,150 ","237,530 ","113,087 ","45,726 ","8,807 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"1,429 ",333 ,708 ,366 ,22 ,"64,554 ","30,409 ","27,922 ","6,222 ",1 ,"54,904 ","24,906 ","24,823 ","5,175 ",0 ,"8,147 ","4,695 ","2,631 ",820 ,1 ,"1,072 ",603 ,351 ,118 ,0 ,431 ,205 ,117 ,109 ,0 ,"3,336 ","2,076 ",736 ,434 ,90 ,"1,926 ","1,359 ",282 ,228 ,57 ,"1,410 ",717 ,454 ,206 ,33 ,"11,229 ","3,979 ","3,556 ","1,210 ","2,484 ","8,861 ","2,974 ","2,515 ",902 ,"2,470 ","2,132 ",952 ,939 ,241 ,0 ,236 ,53 ,102 ,67 ,14 ,278 ,138 ,87 ,23 ,30 ,"328,978 ","170,589 ","111,762 ","38,252 ","8,375 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,844 ,254 ,289 ,273 ,28 ,"57,534 ","34,822 ","17,776 ","4,934 ",2 ,"47,960 ","27,443 ","16,410 ","4,106 ",1 ,"8,654 ","6,705 ","1,200 ",748 ,1 ,680 ,512 ,122 ,46 ,0 ,240 ,162 ,44 ,34 ,0 ,"2,728 ","2,084 ",278 ,238 ,128 ,"1,758 ","1,391 ",129 ,151 ,87 ,970 ,693 ,149 ,87 ,41 ,"15,096 ","12,040 ","2,031 ","1,008 ",17 ,"12,776 ","10,495 ","1,523 ",758 ,0 ,"2,176 ","1,475 ",479 ,222 ,0 ,144 ,70 ,29 ,28 ,17 ,426 ,308 ,35 ,11 ,72 ,"302,148 ","190,105 ","71,472 ","30,861 ","9,710 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999　Jan．,"1,158 ",185 ,321 ,622 ,30 ,"59,000 ","21,927 ","23,536 ","13,531 ",6 ,"49,272 ","17,530 ","21,488 ","10,248 ",6 ,"8,706 ","3,981 ","1,786 ","2,939 ",0 ,626 ,262 ,158 ,206 ,0 ,396 ,154 ,104 ,138 ,0 ,"2,631 ","1,399 ",370 ,740 ,122 ,"1,287 ",682 ,191 ,319 ,95 ,"1,344 ",717 ,179 ,421 ,27 ,"13,272 ","7,305 ","2,816 ","3,137 ",14 ,"10,718 ","6,258 ","2,133 ","2,326 ",1 ,"2,346 ",992 ,645 ,709 ,0 ,208 ,55 ,38 ,102 ,13 ,283 ,114 ,48 ,35 ,86 ,"308,764 ","141,659 ","88,197 ","69,591 ","9,317 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,075 ",212 ,442 ,387 ,34 ,"51,724 ","24,560 ","22,847 ","4,313 ",4 ,"43,586 ","19,135 ","20,944 ","3,503 ",4 ,"7,312 ","4,994 ","1,647 ",671 ,0 ,514 ,287 ,163 ,64 ,0 ,312 ,144 ,93 ,75 ,0 ,"1,804 ",906 ,368 ,455 ,75 ,819 ,410 ,170 ,186 ,53 ,985 ,496 ,198 ,269 ,22 ,"9,735 ","5,746 ","2,910 ","1,072 ",7 ,"7,881 ","4,954 ","2,103 ",822 ,2 ,"1,737 ",759 ,763 ,215 ,0 ,117 ,33 ,44 ,35 ,5 ,418 ,250 ,34 ,18 ,116 ,"330,460 ","203,124 ","83,915 ","35,930 ","7,491 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"1,261 ",322 ,516 ,406 ,17 ,"73,622 ","39,185 ","27,786 ","6,647 ",4 ,"62,772 ","32,180 ","25,267 ","5,322 ",3 ,"9,340 ","6,141 ","2,133 ","1,065 ",1 ,992 ,631 ,223 ,138 ,0 ,518 ,233 ,163 ,122 ,0 ,"2,375 ","1,244 ",510 ,516 ,105 ,"1,136 ",574 ,214 ,266 ,82 ,"1,239 ",670 ,296 ,250 ,23 ,"14,162 ","8,674 ","3,629 ","1,844 ",15 ,"11,497 ","7,456 ","2,724 ","1,317 ",0 ,"2,449 ","1,156 ",826 ,467 ,0 ,216 ,62 ,79 ,60 ,15 ,203 ,53 ,33 ,33 ,84 ,"353,512 ","189,365 ","104,527 ","53,081 ","6,539 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"1,426 ",310 ,504 ,589 ,23 ,"74,059 ","40,848 ","25,284 ","7,924 ",3 ,"63,673 ","33,983 ","23,214 ","6,474 ",2 ,"9,051 ","6,036 ","1,785 ","1,230 ",0 ,907 ,613 ,174 ,120 ,0 ,428 ,216 ,111 ,100 ,1 ,"2,437 ","1,423 ",429 ,504 ,81 ,"1,263 ",720 ,211 ,284 ,48 ,"1,174 ",703 ,218 ,220 ,33 ,"13,583 ","8,504 ","3,300 ","1,775 ",4 ,"10,703 ","7,002 ","2,437 ","1,264 ",0 ,"2,642 ","1,428 ",808 ,406 ,0 ,238 ,74 ,55 ,105 ,4 ,217 ,91 ,48 ,18 ,60 ,"388,777 ","233,741 ","97,441 ","51,238 ","6,357 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"1,398 ",344 ,561 ,433 ,60 ,"72,361 ","38,715 ","26,702 ","6,941 ",3 ,"62,406 ","32,716 ","24,207 ","5,483 ",0 ,"8,555 ","5,203 ","2,092 ","1,260 ",0 ,906 ,590 ,211 ,105 ,0 ,494 ,206 ,192 ,93 ,3 ,"2,983 ","1,645 ",677 ,541 ,120 ,"1,118 ",589 ,253 ,176 ,100 ,"1,865 ","1,056 ",424 ,365 ,20 ,"14,313 ","8,708 ","3,991 ","1,565 ",49 ,"11,480 ","7,317 ","2,995 ","1,168 ",0 ,"2,538 ","1,319 ",929 ,290 ,0 ,295 ,72 ,67 ,107 ,49 ,270 ,97 ,54 ,21 ,98 ,"364,474 ","204,130 ","104,078 ","45,094 ","11,172 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"1,034 ",252 ,365 ,381 ,36 ,"76,873 ","47,024 ","25,262 ","4,585 ",2 ,"67,621 ","40,828 ","23,123 ","3,669 ",1 ,"7,769 ","5,221 ","1,783 ",765 ,0 ,"1,040 ",719 ,240 ,81 ,0 ,443 ,256 ,116 ,70 ,1 ,"2,300 ","1,247 ",404 ,530 ,119 ,"1,134 ",600 ,185 ,261 ,88 ,"1,166 ",647 ,219 ,269 ,31 ,"14,539 ","10,250 ","3,280 ",975 ,34 ,"11,719 ","8,576 ","2,419 ",719 ,5 ,"2,540 ","1,567 ",795 ,178 ,0 ,280 ,107 ,66 ,78 ,29 ,343 ,87 ,55 ,17 ,184 ,"379,914 ","232,639 ","99,642 ","33,636 ","13,997 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"1,327 ",366 ,494 ,414 ,53 ,"76,395 ","47,591 ","21,780 ","7,022 ",2 ,"63,932 ","38,545 ","19,886 ","5,501 ",0 ,"10,586 ","7,714 ","1,580 ","1,292 ",0 ,"1,393 ","1,086 ",198 ,109 ,0 ,484 ,246 ,116 ,120 ,2 ,"3,110 ","2,039 ",401 ,555 ,115 ,"1,783 ","1,183 ",204 ,310 ,86 ,"1,327 ",856 ,197 ,245 ,29 ,"14,684 ","9,761 ","3,223 ","1,688 ",12 ,"11,702 ","8,126 ","2,408 ","1,168 ",0 ,"2,643 ","1,445 ",771 ,427 ,0 ,339 ,190 ,44 ,93 ,12 ,417 ,126 ,48 ,41 ,202 ,"446,236 ","298,063 ","90,778 ","41,532 ","15,863 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"1,366 ",385 ,384 ,561 ,36 ,"69,994 ","37,157 ","21,296 ","11,539 ",2 ,"58,300 ","29,505 ","19,596 ","9,198 ",1 ,"10,324 ","6,860 ","1,447 ","2,017 ",0 ,922 ,606 ,146 ,170 ,0 ,448 ,186 ,107 ,154 ,1 ,"2,485 ","1,410 ",355 ,565 ,155 ,"1,237 ",695 ,178 ,275 ,89 ,"1,248 ",715 ,177 ,290 ,66 ,"12,637 ","7,462 ","2,913 ","2,245 ",17 ,"10,006 ","6,229 ","2,145 ","1,632 ",0 ,"2,380 ","1,154 ",726 ,500 ,0 ,251 ,79 ,42 ,113 ,17 ,326 ,89 ,41 ,48 ,148 ,"418,094 ","258,821 ","81,418 ","63,233 ","14,622 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"1,411 ",290 ,547 ,531 ,43 ,"63,251 ","30,542 ","26,217 ","6,491 ",1 ,"53,280 ","24,899 ","23,331 ","5,049 ",1 ,"8,500 ","4,746 ","2,529 ","1,225 ",0 ,969 ,630 ,218 ,121 ,0 ,502 ,267 ,139 ,96 ,0 ,"2,611 ","1,564 ",523 ,436 ,88 ,"1,194 ",722 ,222 ,193 ,57 ,"1,417 ",842 ,301 ,243 ,31 ,"19,534 ","14,029 ","3,996 ","1,505 ",4 ,"16,119 ","12,010 ","2,986 ","1,123 ",0 ,"3,173 ","1,947 ",932 ,294 ,0 ,242 ,72 ,78 ,88 ,4 ,206 ,57 ,54 ,32 ,63 ,"360,579 ","193,742 ","105,459 ","51,814 ","9,564 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct.　,"1,884 ",442 ,859 ,540 ,43 ,"81,549 ","43,749 ","32,697 ","5,102 ",1 ,"69,302 ","35,858 ","29,402 ","4,042 ",0 ,"10,238 ","6,669 ","2,728 ",841 ,0 ,"1,357 ",902 ,341 ,114 ,0 ,652 ,320 ,226 ,105 ,1 ,"3,815 ","2,206 ",821 ,688 ,100 ,"1,686 ","1,044 ",353 ,228 ,61 ,"2,129 ","1,162 ",468 ,460 ,39 ,"15,251 ","9,281 ","4,642 ","1,318 ",10 ,"12,450 ","7,937 ","3,504 ","1,009 ",0 ,"2,562 ","1,273 ","1,061 ",228 ,0 ,239 ,71 ,77 ,81 ,10 ,254 ,87 ,88 ,25 ,54 ,"410,942 ","222,019 ","132,208 ","48,194 ","8,521 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"1,481 ",342 ,640 ,470 ,29 ,"67,007 ","31,688 ","29,552 ","5,765 ",2 ,"57,321 ","25,976 ","26,591 ","4,754 ",0 ,"8,512 ","5,070 ","2,594 ",848 ,0 ,755 ,450 ,242 ,63 ,0 ,419 ,192 ,125 ,100 ,2 ,"3,152 ","2,099 ",649 ,318 ,86 ,"2,042 ","1,488 ",350 ,171 ,33 ,"1,110 ",611 ,299 ,147 ,53 ,"12,247 ","7,218 ","3,862 ","1,160 ",7 ,"9,963 ","6,154 ","2,928 ",880 ,1 ,"2,036 ",990 ,830 ,216 ,0 ,248 ,74 ,104 ,64 ,6 ,179 ,56 ,46 ,20 ,57 ,"358,193 ","189,626 ","121,512 ","38,982 ","8,073 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,859 ,309 ,295 ,227 ,28 ,"54,906 ","32,227 ","17,883 ","4,796 ",0 ,"46,165 ","25,726 ","16,403 ","4,036 ",0 ,"7,841 ","5,886 ","1,286 ",669 ,0 ,634 ,470 ,114 ,50 ,0 ,266 ,145 ,80 ,41 ,0 ,"2,307 ","1,772 ",249 ,204 ,82 ,"1,223 ",940 ,126 ,97 ,60 ,"1,084 ",832 ,123 ,107 ,22 ,"13,125 ","10,106 ","2,103 ",894 ,22 ,"11,065 ","8,775 ","1,607 ",682 ,1 ,"1,929 ","1,278 ",466 ,185 ,0 ,131 ,53 ,30 ,27 ,21 ,168 ,69 ,32 ,19 ,48 ,"317,918 ","193,414 ","77,943 ","33,511 ","13,050 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000　Jan．,"1,114 ",170 ,327 ,581 ,36 ,"59,643 ","22,253 ","24,848 ","12,539 ",3 ,"49,636 ","17,612 ","22,674 ","9,350 ",0 ,"8,992 ","4,220 ","1,895 ","2,877 ",0 ,653 ,297 ,181 ,174 ,1 ,362 ,124 ,98 ,138 ,2 ,"2,460 ","1,217 ",373 ,778 ,92 ,"1,160 ",576 ,203 ,321 ,60 ,"1,300 ",641 ,170 ,457 ,32 ,"14,280 ","7,902 ","2,832 ","3,539 ",7 ,"11,565 ","6,783 ","2,159 ","2,623 ",0 ,"2,500 ","1,081 ",626 ,793 ,0 ,215 ,38 ,47 ,123 ,7 ,225 ,27 ,48 ,50 ,100 ,"335,621 ","154,546 ","94,080 ","73,275 ","13,720 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,065 ",198 ,458 ,383 ,26 ,"54,207 ","23,958 ","26,254 ","3,994 ",1 ,"44,824 ","17,848 ","23,727 ","3,249 ",0 ,"8,452 ","5,700 ","2,130 ",622 ,0 ,569 ,263 ,240 ,66 ,0 ,362 ,147 ,157 ,57 ,1 ,"1,986 ","1,055 ",435 ,395 ,101 ,955 ,430 ,239 ,210 ,76 ,"1,031 ",625 ,196 ,185 ,25 ,"10,182 ","5,570 ","3,470 ","1,125 ",17 ,"8,340 ","4,794 ","2,699 ",847 ,0 ,"1,701 ",739 ,731 ,231 ,0 ,141 ,37 ,40 ,47 ,17 ,209 ,45 ,42 ,23 ,99 ,"360,621 ","212,346 ","99,234 ","40,328 ","8,713 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"1,515 ",299 ,746 ,425 ,45 ,"74,122 ","38,670 ","28,707 ","6,745 ",0 ,"62,590 ","31,291 ","25,839 ","5,460 ",0 ,"10,184 ","6,654 ","2,471 ","1,059 ",0 ,971 ,567 ,255 ,149 ,0 ,377 ,158 ,142 ,77 ,0 ,"2,327 ","1,240 ",580 ,425 ,82 ,"1,156 ",638 ,245 ,217 ,56 ,"1,171 ",602 ,335 ,208 ,26 ,"12,939 ","7,217 ","3,764 ","1,939 ",19 ,"10,376 ","6,085 ","2,892 ","1,399 ",0 ,"2,339 ","1,039 ",811 ,488 ,1 ,224 ,93 ,61 ,52 ,18 ,221 ,52 ,58 ,30 ,81 ,"365,689 ","190,479 ","112,035 ","56,040 ","7,135 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"1,403 ",337 ,517 ,524 ,25 ,"78,445 ","44,204 ","26,860 ","7,381 ",0 ,"65,820 ","35,550 ","24,341 ","5,929 ",0 ,"11,040 ","7,642 ","2,127 ","1,271 ",0 ,"1,131 ",794 ,238 ,99 ,0 ,454 ,218 ,154 ,82 ,0 ,"3,320 ","2,069 ",565 ,612 ,74 ,"1,798 ","1,152 ",285 ,308 ,53 ,"1,522 ",917 ,280 ,304 ,21 ,"16,494 ","10,982 ","3,537 ","1,962 ",13 ,"12,992 ","9,002 ","2,653 ","1,337 ",0 ,"3,188 ","1,905 ",807 ,476 ,0 ,314 ,75 ,77 ,149 ,13 ,188 ,71 ,40 ,23 ,54 ,"443,028 ","267,123 ","108,770 ","58,103 ","9,032 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"1,427 ",288 ,626 ,484 ,29 ,"76,274 ","41,225 ","28,096 ","6,951 ",2 ,"65,155 ","34,461 ","25,244 ","5,449 ",1 ,"9,714 ","6,026 ","2,386 ","1,302 ",0 ,893 ,553 ,259 ,81 ,0 ,512 ,185 ,207 ,119 ,1 ,"2,805 ","1,605 ",656 ,466 ,78 ,"1,241 ",641 ,337 ,209 ,54 ,"1,564 ",964 ,319 ,257 ,24 ,"13,857 ","8,377 ","3,910 ","1,550 ",20 ,"10,994 ","6,874 ","2,996 ","1,124 ",0 ,"2,569 ","1,408 ",850 ,311 ,0 ,294 ,95 ,64 ,115 ,20 ,227 ,43 ,60 ,20 ,104 ,"381,053 ","205,664 ","113,925 ","49,852 ","11,612 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"1,291 ",384 ,486 ,379 ,42 ,"82,765 ","51,041 ","27,061 ","4,654 ",9 ,"73,328 ","44,820 ","24,694 ","3,813 ",1 ,"8,116 ","5,382 ","2,025 ",709 ,0 ,929 ,650 ,210 ,69 ,0 ,392 ,189 ,132 ,63 ,8 ,"2,634 ","1,399 ",618 ,504 ,113 ,"1,234 ",668 ,267 ,230 ,69 ,"1,400 ",731 ,351 ,274 ,44 ,"16,356 ","11,486 ","3,717 ","1,120 ",33 ,"13,479 ","9,715 ","2,930 ",834 ,0 ,"2,665 ","1,691 ",757 ,217 ,0 ,212 ,80 ,30 ,69 ,33 ,260 ,48 ,45 ,18 ,149 ,"400,139 ","239,635 ","107,723 ","37,472 ","15,309 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"1,892 ",621 ,669 ,564 ,38 ,"84,030 ","50,675 ","25,573 ","7,768 ",14 ,"69,714 ","40,559 ","23,079 ","6,076 ",0 ,"12,010 ","8,537 ","2,050 ","1,423 ",0 ,"1,705 ","1,329 ",256 ,117 ,3 ,601 ,250 ,188 ,152 ,11 ,"3,468 ","2,233 ",675 ,459 ,101 ,"1,912 ","1,235 ",326 ,288 ,63 ,"1,556 ",998 ,349 ,171 ,38 ,"19,178 ","13,352 ","3,879 ","1,899 ",48 ,"15,271 ","10,994 ","3,000 ","1,277 ",0 ,"3,514 ","2,137 ",838 ,539 ,0 ,393 ,221 ,41 ,83 ,48 ,336 ,76 ,41 ,20 ,199 ,"483,849 ","312,480 ","107,106 ","47,705 ","16,558 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"1,372 ",339 ,456 ,541 ,36 ,"70,355 ","37,111 ","21,508 ","11,728 ",8 ,"58,137 ","29,098 ","19,665 ","9,374 ",0 ,"10,484 ","7,005 ","1,464 ","2,014 ",1 ,"1,052 ",725 ,175 ,152 ,0 ,682 ,283 ,204 ,188 ,7 ,"2,509 ","1,436 ",353 ,599 ,121 ,"1,204 ",666 ,181 ,275 ,82 ,"1,305 ",770 ,172 ,324 ,39 ,"13,829 ","8,348 ","3,121 ","2,344 ",16 ,"11,103 ","7,010 ","2,427 ","1,666 ",0 ,"2,444 ","1,243 ",621 ,580 ,0 ,282 ,95 ,73 ,98 ,16 ,243 ,73 ,40 ,61 ,69 ,"423,361 ","253,788 ","85,517 ","67,899 ","16,157 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
